% X-coord,  Y-coord,  Polarization,  wavelength,  type, deviceID, params
882,  3540,  TE,  1550,  openEBL, snewmanSiNCROWA03R150p0umR250p20gap0500nmwWG0p75
1178,  3540,  TE,  1550,  openEBL, snewmanSiNCROWA04R150p0umR249p8gap0500nmwWG0p75
1178,  4794,  TE,  1550,  openEBL, snewmanSiNCROWA10R150p0umR250p00gap0500nmwWG0p75R
882,  4794,  TE,  1550,  openEBL, snewmanSiNCROWA09R150p0umR250p02gap0500nmwWG0p75
879,  8119,  TE,  1550,  openEBL, snewmanSiNGCADeembed01
1119,  8119,  TE,  1550,  openEBL, snewmanSiNGCADeembed03
999,  8119,  TE,  1550,  openEBL, snewmanSiNGCADeembed02
1239,  8119,  TE,  1550,  openEBL, snewmanSiNGCADeembed04
1359,  8119,  TE,  1550,  openEBL, snewmanSiNGCADeembed05
879,  7905,  TE,  1550,  openEBL, snewmanSiNGCADeembed06
1359,  7905,  TE,  1550,  openEBL, snewmanSiNGCADeembed10
999,  7905,  TE,  1550,  openEBL, snewmanSiNGCADeembed07
1239,  7905,  TE,  1550,  openEBL, snewmanSiNGCADeembed09
1119,  7905,  TE,  1550,  openEBL, snewmanSiNGCADeembed08
1178,  3122,  TE,  1550,  openEBL, snewmanSiNCROWA02R150p0umR250p10gap0500nmwWG0p75
882,  3122,  TE,  1550,  openEBL, snewmanSiNCROWA01R150p0umR250p00gap0500nmwWG0p75
1059,  6779,  TE,  1550,  openEBL, snewmanSiNSiNMRRA308R100umgap0600nmwWG0p75
879,  6863,  TE,  1550,  openEBL, snewmanSiNCDCA01baseline
1178,  4376,  TE,  1550,  openEBL, snewmanSiNCROWA08R150p0umR250p01gap0500nmwWG0p75
882,  4376,  TE,  1550,  openEBL, snewmanSiNCROWA07R150p0umR249p99gap0500nmwWG0p75
7707,  7026,  TE,  1550,  FAVE, dc800danteprins
904,  7086,  TE,  1550,  openEBL, snewmanSiNCDCA02baseline2stage
1061,  7064,  TE,  1550,  openEBL, snewmanSiNMRRA508R100umgap0120nmwWG0p75
6527,  4551,  TE,  1550,  openEBL, snewmanSiNCDCB03w10p66umw2Input0p84um
7204,  4561,  TE,  1550,  openEBL, snewmanSiNCDCB04w10p84umw2Input0p66um
7331,  4575,  TE,  1550,  openEBL, snewmanSiNCROSSA02ellipticalTaperSingleEtchwidth0p75umr110umr21p5umw1p25umL10um
1488,  2398,  TE,  1550,  openEBL, snewmanSiNMRRB01R50umgap1100nmwWG0p75
1488,  2200,  TE,  1550,  openEBL, snewmanSiNMRRB02R50umgap0900nmwWG0p75
1706,  2398,  TE,  1550,  openEBL, snewmanSiNMRRB03R50umgap0700nmwWG0p75
1706,  2200,  TE,  1550,  openEBL, snewmanSiNMRRB04R50umgap0500nmwWG0p75
1924,  2398,  TE,  1550,  openEBL, snewmanSiNMRRC01R25umgap1100nmwWG0p75
1924,  2200,  TE,  1550,  openEBL, snewmanSiNMRRC02R25umgap0900nmwWG0p75
112,  8068,  TE,  1550,  openEBL, snewmanSiNCDCB052xGapgap0p56umw10p66umw2Input0p84um
110,  6292,  TE,  1550,  device, XinRingDoubleTEr50g200
110,  5565,  TE,  1550,  FaML, mzi4LukasChrostowski
219,  7562,  TE,  1550,  FaML, ring8501100danteprins
110,  5311,  TE,  1550,  FaML, mzi4LukasChrostowski
219,  7054,  TE,  1550,  FaML, ring8001100danteprins
110,  4895,  TE,  1550,  FaML, mzi3LukasChrostowski
110,  4514,  TE,  1550,  FaML, mzi3LukasChrostowski
219,  6546,  TE,  1550,  FaML, ring7501100danteprins
110,  3752,  TE,  1550,  FaML, mzi3LukasChrostowski
110,  2736,  TE,  1550,  device, XinRingDoubleTEr50g400
110,  3117,  TE,  1550,  device, XinRingDoubleTEr50g500
110,  5819,  TE,  1550,  FaML, mzi4LukasChrostowski
110,  1339,  TE,  1550,  FaML, LukasChrostowskiLoopback
110,  1593,  TE,  1550,  FaML, LukasChrostowskimzi1
110,  3371,  TE,  1550,  FaML, mzi2LukasChrostowski
110,  4133,  TE,  1550,  FaML, mzi3LukasChrostowski
110,  1085,  TE,  1550,  FaML, LukasChrostowskiloopback
110,  2355,  TE,  1550,  device, XinRingDoubleTEr50g300
110,  1974,  TE,  1550,  FaML, mzi1LukasChrostowski
6689,  3218,  TE,  1550,  device, MMI1comment
7179,  3218,  TE,  1550,  device, MZI2comment
6879,  3218,  TE,  1550,  device, MZI1comment
6539,  2914,  TE,  1550,  device, MZI3comment
6539,  3218,  TE,  1550,  device, Loopbackcomment
6974,  2914,  TE,  1550,  device, MZI4comment
5526,  8442,  TE,  1310,  device, cael3EMBED1
5913,  8442,  TE,  1310,  device, cael3EMBED3
5691,  8442,  TE,  1310,  device, cael3EMBED2
6173,  8442,  TE,  1310,  device, cael3EMBED4
6218,  7712,  TE,  1550,  dc1, TestWithRingscomment
6050,  7534,  TE,  1550,  dc1, Testcomment
5539,  7684,  TE,  1550,  MDM, dc1comment
7385,  8533,  TE,  1550,  device, felixmessmerSiNdsC
6522,  8420,  TE,  1550,  device, felixmessmer1x42ports45degC
7241,  8339,  TE,  1550,  device, felixmessmer180degreephaseshiftC
5539,  7176,  TE,  1550,  MDM, dc4comment
6050,  7026,  TE,  1550,  dc4, Testcomment
6218,  7204,  TE,  1550,  dc4, TestWithRingscomment
5996,  4823,  TE,  1550,  device, cael3RR2
5521,  4823,  TE,  1550,  device, cael3RR1
5524,  4400,  TE,  1550,  device, XinRingDoubleTEr20g550
5684,  4400,  TE,  1550,  device, XinRingDoubleTEr30g550
6283,  4400,  TE,  1550,  device, XinRingDoubleTEr60g550
5864,  4400,  TE,  1550,  device, XinRingDoubleTEr40g550
6063,  4400,  TE,  1550,  device, XinRingDoubleTEr50.1g550
5862,  3146,  TE,  1550,  device, XinRingDoubleTEr40g250
6062,  3146,  TE,  1550,  device, XinRingDoubleTEr50.1g250
5524,  3146,  TE,  1550,  device, XinRingDoubleTEr20g250
5683,  3146,  TE,  1550,  device, XinRingDoubleTEr30g250
6281,  3146,  TE,  1550,  device, XinRingDoubleTEr60g250
6173,  6067,  TE,  1550,  device, mlrr3
5825,  6067,  TE,  1550,  device, mlrr2
5529,  6067,  TE,  1550,  device, mlbasicwg1
5529,  5813,  TE,  1550,  device, mlrr1
5524,  2728,  TE,  1550,  device, XinRingDoubleTEr20g150
5683,  2728,  TE,  1550,  device, XinRingDoubleTEr30g150
5862,  2728,  TE,  1550,  device, XinRingDoubleTEr40g150
6061,  2728,  TE,  1550,  device, XinRingDoubleTEr50.1g150
6280,  2728,  TE,  1550,  device, XinRingDoubleTEr60g150
4516,  8670,  TE,  1550,  device, XinRingDoubleTEr50g500
4736,  8670,  TE,  1550,  device, XinRingDoubleTEr50g525
5175,  8670,  TE,  1550,  device, XinRingDoubleTEr50g575
4955,  8670,  TE,  1550,  device, XinRingDoubleTEr50g550
5390,  8670,  TE,  1550,  device, XinGCTEr50g575
4516,  7834,  TE,  1550,  device, XinRingDoubleTEr50g300
4735,  7834,  TE,  1550,  device, XinRingDoubleTEr50g325
5174,  7834,  TE,  1550,  device, XinRingDoubleTEr50g375
4955,  7834,  TE,  1550,  device, XinRingDoubleTEr50g350
5388,  7834,  TE,  1550,  device, XinGCTEr50g375
4516,  7416,  TE,  1550,  device, XinRingDoubleTEr50g200
5173,  7416,  TE,  1550,  device, XinRingDoubleTEr50g275
4735,  7416,  TE,  1550,  device, XinRingDoubleTEr50g225
4954,  7416,  TE,  1550,  device, XinRingDoubleTEr50g250
5388,  7416,  TE,  1550,  device, XinGCTEr50g275
4516,  6998,  TE,  1550,  device, XinRingDoubleTEr50g120
4735,  6998,  TE,  1550,  device, XinRingDoubleTEr50g125
4954,  6998,  TE,  1550,  device, XinRingDoubleTEr50g150
5173,  6998,  TE,  1550,  device, XinRingDoubleTEr50g175
5387,  6998,  TE,  1550,  device, XinGCTEr50g175
4510,  6568,  TE,  1550,  device, MehdiLP812nd
4510,  6695,  TE,  1550,  device, MehdiLP81
4510,  5314,  TE,  1550,  device, MehdiLP622nd
4510,  5441,  TE,  1550,  device, MehdiLP62
4510,  4896,  TE,  1550,  device, MehdiLP612nd
4510,  5023,  TE,  1550,  device, MehdiLP61
4506,  4280,  TE,  1550,  device, MehdiLP512nd
4506,  4407,  TE,  1550,  device, MehdiLP51
4506,  4480,  TE,  1550,  device, MehdiLP412nd
4506,  4607,  TE,  1550,  device, MehdiLP41
4511,  3109,  TE,  1550,  device, LukasChrostowskiloopback
4621,  3109,  TE,  1550,  device, LukasChrostowskiMZI
4511,  3363,  TE,  1550,  device, LukasChrostowskiMZI2
4506,  4072,  TE,  1550,  device, MehdiLP112nd
4506,  4199,  TE,  1550,  device, MehdiLP11
4968,  4072,  TE,  1550,  device, MehdiLP212nd
4968,  4199,  TE,  1550,  device, MehdiLP21
4506,  3862,  TE,  1550,  device, MehdiLP312nd
4506,  3989,  TE,  1550,  device, MehdiLP31
4140,  6423,  TE,  1550,  device, dilshaahLB
3638,  6435,  TE,  1550,  device, dilshaahSiNR0
5683,  3564,  TE,  1550,  device, XinRingDoubleTEr30g350
6062,  3564,  TE,  1550,  device, XinRingDoubleTEr50.1g350
5863,  3564,  TE,  1550,  device, XinRingDoubleTEr40g350
5524,  3564,  TE,  1550,  device, XinRingDoubleTEr20g350
6282,  3564,  TE,  1550,  device, XinRingDoubleTEr60g350
3594,  5599,  TE,  1550,  device, dilshaahSiNR95
4068,  5599,  TE,  1550,  device, dilshaahSiNR95sen
6959,  3726,  TE,  1550,  device, WG2comment
6561,  3676,  TE,  1550,  device, Ring1comment
7114,  3731,  TE,  1550,  device, Ring2comment
6809,  3726,  TE,  1550,  device, WG1comment
6028,  5767,  TE,  1550,  device, majidtaghavi3PC
5517,  5524,  TE,  1550,  device, majidtaghavi3SiN1
5520,  5771,  TE,  1550,  device, majidtaghavi3SW
3593,  4345,  TE,  1550,  device, dilshaahSiNR80
4062,  4345,  TE,  1550,  device, dilshaahSiNR80sen
3594,  3927,  TE,  1550,  device, dilshaahSiNR75
4065,  3927,  TE,  1550,  device, dilshaahSiNR75sen
5559,  5242,  TE,  1550,  device, ibrahimelmallahMZI300
5877,  5124,  TE,  1550,  device, ibrahimelmallahGCref
1937,  3680,  TE,  1310,  device, BobbyZourails500slot125length100adiabatic300
1717,  3680,  TE,  1310,  device, BobbyZourails500slot120length100adiabatic300
